accounting_standard,credit_rating,credit_score,edinet_code,industry,name,sec_code
JP,D,30,E03552,銀行業,株式会社筑波銀行,83380
JP,C,50,E03592,銀行業,株式会社筑邦銀行,83980
JP,B,65,E36466,食料品,株式会社紀文食品,29330
JP,D,30,E03581,銀行業,株式会社紀陽銀行,83700
JP,A,73,E37160,情報・通信業,株式会社網屋,42580
JP,B,60,E05367,サービス業,株式会社総医研ホールディングス,23850
JP,S,93,E05579,サービス業,株式会社翻訳センター,24830
JP,A,78,E00607,繊維製品,株式会社自重堂,35970
JP,S,95,E04817,サービス業,株式会社船井総研ホールディングス,97570
JP,S,88,E32796,サービス業,株式会社船場,65400
IFRS,S,83,E01542,機械,株式会社荏原製作所,63610
JP,C,55,E22016,金属製品,株式会社菊池製作所,34440
JP,S,88,E04995,情報・通信業,株式会社菱友システムズ,46850
JP,A,75,E34943,小売業,株式会社薬王堂ホールディングス,76790
JP,S,83,E02488,機械,株式会社藤商事,62570
JP,D,30,E32447,銀行業,株式会社西日本フィナンシャルホールディングス,71890
JP,S,93,E03287,小売業,株式会社西松屋チェーン,75450
JP,S,80,E04154,陸運業,株式会社西武ホールディングス,90240
JP,S,93,E33633,サービス業,株式会社要興業,65660
JP,B,65,E04049,不動産業,株式会社誠建設工業,89950
JP,S,88,E34634,サービス業,株式会社識学,70490
JP,S,95,E39691,情報・通信業,株式会社豆蔵デジタルホールディングス,202A0
JP,D,25,E03673,銀行業,株式会社豊和銀行,85590
IFRS,S,88,E01514,輸送用機器,株式会社豊田自動織機,62010
JP,S,83,E27202,小売業,株式会社買取王国,31810
IFRS,A,75,E00990,化学,株式会社資生堂,49110
JP,A,70,E32351,サービス業,株式会社農業総合研究所,35410
JP,A,75,E03021,小売業,株式会社近鉄百貨店,82440
JP,S,88,E02896,卸売業,株式会社進和,76070
JP,S,88,E01986,電気機器,株式会社遠藤照明,69320
JP,S,93,E01459,その他製品,株式会社遠藤製作所,78410
JP,C,58,E01636,機械,株式会社酉島製作所,63630
IFRS,S,90,E05062,情報・通信業,株式会社野村総合研究所,43070
JP,S,93,E02058,電気機器,株式会社鈴木,67850
JP,C,50,E05409,サービス業,株式会社鉄人化ホールディングス,24040
